FREQUENCY,Brand
1,S&A Food Mart #2
1,Sack-n-snack
1,Sadler's Food Mart #2
1,Safari Mediterranean Market
1,Safari Mediterranean Market 2
1,Saginaw Farmers Market
1,Salam Supermarkets
1,Salim & Shamsah Inc.
1,Sals Food Mart
23,Sam's Club
1,Sam's Food Mart
1,Sammy's Mini Mart
1,Sammy Food Mart
1,Sana Restaurant And Halal Grocery
1,Sanderi Oil & Gas Inc
1,Sanford Grocery
1,Sanford Point LLC
1,Sankofa African Market
1,SARAS MEDITERRANEAN FOOD
1,Satter Llc 38338A
1,Savannah Fresh Meat African Market Llc
1,Save A Buck 2 2
1,SAVE N GO
1,Save Now Food Mart 1
1,SAVE WAY FOOD STORE
1,SAVERS COST PLUS # 525
1,Savers Cost Plus 265
1,Savers Cost Plus 5250
1,Savers Cost Plus 5253
1,Savworth
1,Sayee Inc
1,SB Food Depot
1,Scarborough Travel Stop
1,Scki Food Mart
1,Scottie's Drive-in
1,SDS FOOD MART
1,Seagoville Food Mart 6
1,Seagoville Mini Mart
1,Seaneen Mart
1,Seven Eleven 35832
1,Seven Mart Food Store
1,Shadai Group African Market 1
1,Shahrzad Mediterranean Market and Grill
1,Shane Enterprises Inc.
1,Shantaba LLC
1,Sheger Grocery
1,Sheikh Investments Inc
1,Shell 3eighty
1,Shell At Farmers Branch 1
2,Shell Food Mart
1,Shin Chon Meat Wholesale Market
1,Shine Grocery Store
1,Sho N Go
1,Shop & Fun Food Mart 0
1,Shop And Go N/A
1,Shop N Go
1,Shop N Go # 14
1,Shop N Go # 8
1,Shop N Go #4
1,Shop N Go 12
1,Shop N Go 3
1,Shs Nursery
1,Shukrani Market 0004
1,Shukrani Market Inc
1,SIA Food Mart
1,Sid Food Mart
1,Silver Creek Kwik Stop
1,Silver Star Market
1,Simply Grace Gardens NAFMNP
1,Sims Drive-in Grocery 01
1,Six Flags Beer And Wine
1,Smart-Mart C-Store
1,Smokey's Food Mart
1,Sn Food Store
1,Snap N Go
1,Snappymart
1,Soboma African Store
1,Sonic Food Mart
1,Sonic Grocery 1
1,South Galloway Food Mart
1,South Hulen Food Mart
1,Southpoint Community Market
1,Southwest Farmers Market
1,Southwest Farmers Market 2
1,Speedmax
1,Speedway Grocery
1,Speedy B Market
1,Speedy B Mart
1,Speedy B Mart 2
1,Speedy Shop
1,Spice And Slice Bazaar
1,Spice N Rice Indian Groceries
1,Spring Valley Mart
1,SPROUT FARMERS MARKET 105
31,Sprouts Farmers Market
1,St. Abanoub Food Mart LLC
1,St. George & Ava Tigi Inc
1,St. George Food Mart
1,St. Mark
1,Star Field Beer And Wine
1,Star Food Mart
1,Star Food Mart N/a
2,Star Mart
1,Star Mart 2
1,Star Medical Specialties
1,Star Stop
1,Step In Drive In
1,Stop & Go Markets
1,Stop & Save
1,Stop & Shop Grocery
1,STOP AND SAVE FOOD STORE
2,STOP N BUY
1,Stop N Go
1,Stop N Save
1,Stop N Shop Food Mart Beer & Wine
1,Stop N Shop Mini Mart
1,Store T-24
1,Subzi Mandi Plano
1,Sunflower Shoppe CV
1,Sunflower Shoppe FTW
1,Sunny's Food Mart
1,Sunny's Market
1,Sunny's Mart
1,Sunny's Mart 1 1
1,Sunny Food Mart #12
1,Super 1 Foods 649
1,Super Amigos
1,Super Food Mart
1,Super Garcia Meat Market 1
1,Super Mercado 5 Estrellas
1,Super Mercado El Cerrito
1,SUPER MERCADO MEXICO # 1
1,SUPER MERCADO MEXICO # 3
1,SUPER MERCADO MEXICO # 4
1,Super Mercado Monterey
7,Super Mercado Monterrey
1,Super Quik Sak
1,Super Save Grocery
1,Super Seals Grocery
1,Super Trac
1,Superconvenience Stop
1,Superfoody Asian Food Market
1,Supermercado Teloloapan 14
1,Supert Track 2
1,Supertrack
1,Sure Fuel And Groceries
1,Swift Food Store
1,SWIFT T # 11
1,Swift T #8
1,T & T Groceries
1,T C Grocery
1,TA Dallas South 150
1,TA Rockwall 49
1,Tabor Farms NAFMNP
1,Taj Mahal Asian Groceries
1,Taleeh Grocery
1,Taqueria Y Carniceria
1,Tara Pasang Kipa Llc 16
1,Tara Quick Track
49,Target
1,Terry's Food
1,Texaco At Grand Prairie 1
1,Texas' Mini Mart
1,Texas Express
1,Texas King Irving zabiha halal meat
1,TEXAS KING ZABIHA MEAT
1,TEXAS SEAFOOD FISH MARKET
1,Thakurs Truck Stop
1,The Gas Spot 1011
1,The Gas Spot 1012
1,The Gas Spot 1013
1,The Gas Spot 1014
1,The Hawk Shop
1,The Joseph Storehouse
1,The Provision House
1,The Yellow Farmhouse
1,Three Amigos
1,Tic Toc Food Store
2,Tienda Honduras Maya
1,Tiger Food Mart
1,Tiger Mart 10
1,Tiger Mart 36
1,Tiger Mart 41
1,Tiger Mart 46
1,Tiger Mart 48
1,Tiger Mart 5
1,Tiger Mart 68
1,Tiger Mart 86
1,Time Food Mart 4
1,Tito's Meat Market
1,Tito's Meat Market & Taqueria #2
1,Tl Mart
1,Tma Grocery Beer & Wine
1,Todays Discount Food Mart
1,Todos Amigos
68,Tom Thumb
1,Toms Ezn
1,Toni Demissie Inc. 21764A
1,Tonie's Beer & Grocery
1,Tonys Neighborhood Food Store
1,Toor Mart
1,Top Fuel
1,Top Mart
1,Town Talk Foods
1,Town Talk Inc
1,Towne Centre Mart
1,Track9
11,Trader Joe's
1,Tres Amigos
1,Trinity Food Mart 1
1,TRIPLE SEVEN FOOD STORE
1,Trippleg African Food Mart Llc
1,Tropical Foods African Market
1,Tropical Market
1,Tx Food Mart
1,Tx Speedway
1,Uac International Food
1,Ubuntu Farmers Market
1,Ultimate Stop
1,Unclelee Grocery 3839
1,United Express 696
1,University Food Mart
1,Urban Mart
1,US One Stop Food Mart
1,Usa Grocery Store
1,V&N Food Store
1,Valaro Food Mart
18,Valero
1,Valley Ranch Shell
1,Van Tran Oriental Market
1,Varnav LLC
1,Vegas Food Store
1,Vermont Grocery Store
1,Victory Tropical Market Inc
1,Vietnam Plaza Supermarket
1,Vision Mart
1,Vitimin Cottage Natural Food Market U144
1,Viva Food Market
1,Viva Foods
1,W & W Grocery
1,W Whipin
153,Walgreens
126,Walmart
1,Walnut Beer & Wine
1,WALNUT FOOD MART
1,Wawa Market Inc
1,WB Ferguson Shell
1,Welcome Food Store
1,Westchester Express
1,Westchester Food Mart
1,Westend Tobacco And Food Mart
1,Western Lucky Lady
1,Whip In
1,Whistle Food Mart
1,Whistle Stop 1
1,White Rock Farmers Market
1,White Rock Farmers Market- Good Local Markets
1,White Star Mart
15,Whole Foods Market
1,Wichita Fuel
1,Wild Fork Foods 9025
10,WinCo Foods
1,Wohemiya Ethiopian Grocery
1,Woodhaven C-Store
1,Wooltari Mall
1,World Food Warehouse
1,World Of Spices
1,Wrehsonco
1,Wrights Family Food
1,Wylie 9041
1,Y & H Stop N Save
1,Yangon Grocery
1,Yellow Store
1,Your Stop
1,ZAM ZAM SUPERMARKET
1,Zara Food Mart
1,Zayn Global Market
1,Zee Stop Hulen Mall 06
1,Zee Stop Parks Mall
1,Zee Stop Parks Mall 2 05
1,Zee Stop Town East Mall 04
1,Zing Oriental Market
1,Zion African Market NO
1,Zion Market
1,Zoom-in 6
1,Zoom In  #8
1,Ztao Marketplace
